iter	Passed	Remaining
958	9764	417
959	9768	407
960	9772	396
961	9776	386
962	9779	375
963	9783	365
964	9786	354
965	9790	344
966	9794	334
967	9797	323
968	9801	313
969	9805	303
970	9809	292
971	9812	282
972	9816	272
973	9820	262
974	9824	251
975	9828	241
976	9831	231
977	9835	221
978	9839	211
979	9842	200
980	9846	190
981	9850	180
982	9854	170
983	9857	160
984	9861	150
985	9865	140
986	9869	129
987	9873	119
988	9876	109
989	9880	99
990	9883	89
991	9887	79
992	9890	69
993	9894	59
994	9897	49
995	9901	39
996	9904	29
997	9908	19
998	9911	9
999	9915	0
	83
992	10345	72
993	10349	62
994	10352	52
995	10356	41
996	10359	31
997	10363	20
998	10366	10
999	10370	0
